"s_x1","s_x2","s_x3","s_x4","s_x5","s_x6","s_x7","s_x8","s_x9","s_x10","s_x11","s_x12","s_x13","s_x14","s_x15","s_y","s_y2",
0,0,0.49643,1.0142,1.4794,,79.0948,0.30053,248.8461,248.4189,248.0407,247.7335,246.6473,245.9218,245.6196,,,
-0.0080321,-0.0080321,0.2981,0.2981,1.3143,,78.7554,0.23477,248.8908,248.5209,248.1581,247.8522,246.7388,245.9824,245.6641,,,
-0.10844,-0.11647,-0.31663,0.18933,1.2045,,74.4422,0.13395,248.8305,248.5553,248.2271,247.9339,246.8161,246.0364,245.7045,,,
0,-0.10844,-0.11647,0.18933,0.97848,,74.4422,0.050591,248.7903,248.5834,248.2875,248.0078,246.8904,246.0893,245.7443,,,
0,0,-0.11647,0.18933,0.97848,,73.3615,-0.017564,248.7636,248.6064,248.3403,248.0747,246.9617,246.1412,245.7836,,,
0,0,-0.11647,0.37938,0.97848,,57.8595,-0.072579,248.7457,248.6253,248.3865,248.1352,247.0303,246.1921,245.8223,,,
0,0,-0.10844,0.18933,0.97848,,57.8595,-0.11631,248.7338,248.6407,248.4269,248.19,247.0962,246.2419,245.8606,,,
0,0,0,-0.31663,0.97848,,57.8595,-0.15041,248.7259,248.6533,248.4623,248.2395,247.1595,246.2908,245.8983,,,
0,0,0,-0.11647,0.97848,,57.8595,-0.17634,248.7206,248.6636,248.4933,248.2843,247.2203,246.3387,245.9355,,,
-0.39805,-0.39805,-0.39805,-0.51406,0.57653,,49.2877,-0.32175,248.3871,248.492,248.3966,248.2306,247.2399,246.3661,245.9592,,,
0,-0.39805,-0.39805,-0.51406,0.57653,,41.4474,-0.40733,248.1647,248.3517,248.312,248.1819,247.2587,246.3929,245.9825,,,
-0.040368,-0.040368,-0.43826,-0.54623,0.53593,,0,-0.46276,247.9831,248.2186,248.2255,248.1284,247.2729,246.4172,246.0042,,,
0,-0.040368,-0.43826,-0.43826,0.53593,,0,-0.48257,247.8621,248.1098,248.1498,248.08,247.2865,246.441,246.0256,,,
0,0,-0.43826,-0.43826,0.53593,,0,-0.47792,247.7814,248.0207,248.0836,248.0362,247.2996,246.4643,246.0467,,,
0.11711,0.11711,0.076699,-0.32166,0.65367,,17.3653,-0.42007,247.8243,248.0006,248.0619,248.0242,247.3235,246.493,246.0714,,,
-0.11698,0,-0.040368,-0.43826,0.53593,,14.9485,-0.40498,247.7562,247.9314,248.0067,247.9857,247.3351,246.5153,246.0919,,,
0,-0.11698,0,-0.43826,0.53593,,17.3653,-0.37955,247.7108,247.8748,247.9583,247.9508,247.3463,246.5372,246.1121,,,
-0.0080769,-0.0080769,-0.0080769,-0.4463,0.52781,,17.1598,-0.35066,247.6739,247.8248,247.9135,247.9174,247.3562,246.5582,246.1319,,,
0,-0.0080769,-0.0080769,-0.4463,0.52781,,17.1598,-0.31776,247.6492,247.7839,247.8744,247.8872,247.3658,246.5788,246.1513,,,
0,0,-0.12505,-0.048442,0.52781,,17.1598,-0.28335,247.6328,247.7505,247.8401,247.8598,247.375,246.5991,246.1705,,,
0,0,-0.0080769,-0.048442,0.44625,,17.1598,-0.24915,247.6219,247.7231,247.8101,247.8351,247.3838,246.6189,246.1894,,,
0,0,-0.0080769,-0.0080769,-0.25782,,17.1598,-0.21631,247.6146,247.7007,247.7838,247.8127,247.3923,246.6383,246.2081,,,
-0.1454,-0.1454,-0.1454,-0.15346,-0.40284,,14.1463,-0.23149,247.4897,247.617,247.7158,247.7582,247.3863,246.6502,246.2218,,,
-0.056625,-0.20194,-0.20194,-0.21,-0.45923,,24.1667,-0.24737,247.3598,247.523,247.6388,247.6955,247.3751,246.6591,246.2334,,,
-0.54634,-0.60265,-0.74717,-0.87128,-1.0031,,11.3725,-0.41674,246.8232,247.2006,247.4027,247.5102,247.3114,246.6411,246.227,,,
0,-0.54634,-0.74717,-0.75519,-0.81527,,11.8367,-0.50017,246.4655,246.9369,247.1961,247.3426,247.2501,246.6235,246.2207,,,
0,0,-0.74717,-0.75519,-1.0031,,11.8367,-0.52422,246.227,246.7211,247.0154,247.1909,247.1913,246.6062,246.2144,,,
0,0,-0.60265,-0.74717,-1.503,,11.8367,-0.5086,246.068,246.5445,246.8572,247.0537,247.1348,246.5892,246.2083,,,
0.2645,0.2645,-0.28329,-0.48465,-1.0442,,23.1317,-0.38481,246.1787,246.5182,246.8001,246.9914,247.106,246.5855,246.2108,,,
0.64935,0.91556,0.91556,0.16155,-0.40161,,54.6117,-0.077577,246.7858,246.7877,246.95,247.0875,247.141,246.6135,246.2345,,,
0.12097,0.7711,1.0376,0.28271,-0.28112,,57.6923,0.16277,247.2905,247.0626,247.1188,247.2029,247.1865,246.6469,246.2619,,,
0,0.12097,1.0376,0.28271,-0.27311,,57.9545,0.30995,247.627,247.2876,247.2664,247.3074,247.2301,246.6796,246.2889,,,
0,0,1.0376,0.42873,-0.16485,,57.9545,0.39029,247.8513,247.4717,247.3956,247.402,247.2721,246.7117,246.3155,,,
1.8405,1.8405,2.6258,2.3351,1.6726,,79.3757,1.007,249.5242,248.4532,248.0799,247.9227,247.4916,246.8337,246.4023,,,
-0.56155,1.2686,1.3911,2.3194,1.1017,,68.5274,1.1606,250.1662,248.9981,248.5012,248.2587,247.6469,246.9251,246.4692,,,
0,-0.56155,1.2686,2.3194,1.1017,,68.5274,1.1946,250.5941,249.4439,248.8698,248.5626,247.796,247.0147,246.5352,,,
